date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:15:12	111095/111095	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2017:45:10%20GMT	https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry	C:/My%20Web%20Sites/4two/www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry.html	(from )
23:15:13	92/92	---MCZ	200	added ('OK')	text/plain	etag:W/%22e27fc9988fe0891962ffac73882c0f24%22	https://www.constructconnect.com/robots.txt		(from )
23:15:14	93868/93868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ddb84c1587287b2df08966081ef063bf%22	https://www.constructconnect.com/hs/hsstatic/jquery-libs/static-1.1/jquery/jquery-1.7.1.js	C:/My%20Web%20Sites/4two/www.constructconnect.com/hs/hsstatic/jquery-libs/static-1.1/jquery/jquery-1.7.1.js	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2030%20Oct%202022%2017:45:13%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/4two/www.googletagmanager.com/gtm.25445.delayed	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:15	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/4two/code.jquery.com/jquery-3.6.0.min.js	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:16	105275/105275	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2030%20Oct%202022%2017:45:15%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/4two/connect.facebook.net/en_US/fbevents.js	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:17	17766/17766	---MCZ	200	added ('OK')	text/html	etag:W/%22190834d3da8f124878509bf7d53f7e49%22	https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry?hs_amp=true	C:/My%20Web%20Sites/4two/www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry3d9f.html	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:19	31570/31570	---MCZ	200	added ('OK')	text/html	etag:W/%221743bb1d4be333c209578f299403d836%22	https://www.constructconnect.com/blog/rss.xml	C:/My%20Web%20Sites/4two/www.constructconnect.com/blog/rss.html	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Oct%202022%2017:45:18%20GMT	http://cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1666975913009/hubspot/hubspot_default/shared/responsive/layout.min.css	C:/My%20Web%20Sites/4two/cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1666975913009/hubspot/hubspot_default/shared/responsive/layout.min.8.delayed	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:20	4562/4562	---MCZ	200	added ('OK')	text/css	etag:W/%2294daf62e7e6df83595c6251fb0c7c055%22	https://cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1666975913009/hubspot/hubspot_default/shared/responsive/layout.min.css	C:/My%20Web%20Sites/4two/cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1666975913009/hubspot/hubspot_default/shared/responsive/layout.min.css	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:21	25887/25887	---MCZ	200	added ('OK')	text/css	etag:W/%223c5fad6eb95b458673f75dcefa31408c%22	https://www.constructconnect.com/hs-fs/hub/2347101/hub_generated/template_assets/11515906806/1603458044211/HubUI/templates/BOP.min.css	C:/My%20Web%20Sites/4two/www.constructconnect.com/hs-fs/hub/2347101/hub_generated/template_assets/11515906806/1603458044211/HubUI/templates/BOP.min.css	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:23	1251/1251	---M-Z	200	added ('OK')	application/x-javascript	etag:%2292b41a298690c047b0c4602dd843cba4:1662686319.691662%22	http://munchkin.marketo.net/munchkin.js	C:/My%20Web%20Sites/4two/munchkin.marketo.net/munchkin.js	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:24	11076/11076	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2030%20Oct%202022%2017:45:21%20GMT	https://kit.fontawesome.com/8996833100.js	C:/My%20Web%20Sites/4two/kit.fontawesome.com/8996833100.js	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:25	293194/293194	---MCZ	200	added ('OK')	text/css	etag:W/%22774262eef658d4aea846d5c912bc0f1c%22	https://www.constructconnect.com/hs-fs/hub/2347101/hub_generated/template_assets/10778989189/1666628688551/HubUI/assets/production.css	C:/My%20Web%20Sites/4two/www.constructconnect.com/hs-fs/hub/2347101/hub_generated/template_assets/10778989189/1666628688551/HubUI/assets/production.css	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:25	3236/3236	---M--	200	added ('OK')	image/png	etag:%221a7e94dca903a0161d1d12c76dea5e52%22	https://www.constructconnect.com/hubfs/assets/images/constructconnect-logo_white.png	C:/My%20Web%20Sites/4two/www.constructconnect.com/hubfs/assets/images/constructconnect-logo_white.png	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:28	69889/69889	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Oct%202022%2017:45:26%20GMT	https://www.constructconnect.com/blog/tag/economy	C:/My%20Web%20Sites/4two/www.constructconnect.com/blog/tag/economy.f.delayed	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:29	521593/521593	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2030%20Oct%202022%2017:41:37%20GMT	http://platform.linkedin.com/in.js	C:/My%20Web%20Sites/4two/platform.linkedin.com/in.js	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:30	69889/69889	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Oct%202022%2017:45:29%20GMT	https://www.constructconnect.com/blog/tag/industry-snapshot	C:/My%20Web%20Sites/4two/www.constructconnect.com/blog/tag/industry-snapshot	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:33	3121/3121	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-c31%22	http://cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.js	C:/My%20Web%20Sites/4two/cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.js	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:34	111398/111398	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2017:45:31%20GMT	https://www.constructconnect.com/blog/tag/construction-bidding	C:/My%20Web%20Sites/4two/www.constructconnect.com/blog/tag/construction-bidding.html	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
23:15:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Oct%202022%2017:45:33%20GMT	http://js.hsforms.net/forms/v2.js	C:/My%20Web%20Sites/4two/js.hsforms.net/forms/v2.13.delayed	(from https://www.constructconnect.com/blog/7-major-trends-will-impact-construction-industry)
